date,venue_slug,event_name,source_url,source_type,expected_impact,impact_reason,indoor_or_outdoor,notes
2025-01-15,aquapark_fala,Winter indoor recreation demand,https://lodz.pl/artykul/rekordy-w-orientarium-zoo-lodz-i-aquaparku-fala-ile-osob-odwiedzilo-zdrowie-66002/,public_news_signal,0.08,January 2025 showed strong demand before regional winter break,indoor,Manual public signal used for calibrated demo only
2025-02-17,aquapark_fala,Łódź winter break demand window,https://lodz.pl/artykul/rekordy-w-orientarium-zoo-lodz-i-aquaparku-fala-ile-osob-odwiedzilo-zdrowie-66002/,holiday_context,0.14,School break increases family recreation demand,indoor,Placeholder school holiday signal
2025-06-27,aquapark_fala,Summer hours begin,https://aquapark.lodz.pl/aktualnosci/artykul/w-wakacje-fala-czynna-od-samego-rana-id126250/2025/06/25/,official_venue_news,0.12,Earlier summer opening increases capacity and day-trip appeal,mixed,Official venue news signal
2025-07-07,aquapark_fala,Wakacje na FALI summer courses,https://aquapark.lodz.pl/kalendarz/wydarzenie/wakacje-na-fali-5-id122666/2025/05/27/,official_event,0.10,Children and youth summer programming increases weekday attendance,mixed,Manual event signal for calibrated demo
2025-08-15,aquapark_fala,August long-weekend family demand,,manual_context,0.16,Public holiday and summer weather create strong aquapark demand,mixed,Manual fallback event signal
2025-01-15,orientarium_zoo_lodz,Strong January attendance news signal,https://lodz.pl/artykul/rekordy-w-orientarium-zoo-lodz-i-aquaparku-fala-ile-osob-odwiedzilo-zdrowie-66002/,public_news_signal,0.07,January 2025 outperformed previous year by a large margin,mixed,Manual public signal used for calibrated demo only
2025-05-01,orientarium_zoo_lodz,May holiday tourism window,,manual_context,0.18,Long weekend and spring tourism increase zoo demand,outdoor,Manual fallback event signal
2025-06-01,orientarium_zoo_lodz,Children's Day family demand,,manual_context,0.18,Children's Day is a natural zoo family demand peak,mixed,Manual fallback event signal
2025-08-01,orientarium_zoo_lodz,Record August tourism demand,https://radiolodz.pl/rekordowy-miesiac-lodzkiego-zoo-prawie-200-tysiecy-odwiedzajacych%2C546350/,public_news_signal,0.20,August 2025 was reported as a record month with strong tourist share,mixed,Public benchmark signal
2025-10-01,orientarium_zoo_lodz,School education group season,https://radiolodz.pl/rekordowy-miesiac-lodzkiego-zoo-prawie-200-tysiecy-odwiedzajacych%2C546350/,public_news_signal,0.08,Article mentions school and preschool educational offer for autumn,indoor,Manual education demand signal
