id,source,url,used_for,confidence
S01,PDF uzytkownika: fala_orientarium_kompendium.pdf,plik lokalny w rozmowie,"sygnaly sezonowe, mikropiki godzinowe, waskie gardla Orientarium, wnioski o zachowaniach odwiedzajacych","0.75 - dobre jako kompendium operacyjne, wymaga kalibracji realnymi danymi kasowymi"
S02,Aquapark Fala - oficjalne godziny otwarcia strefy basenowej i saun,https://aquapark.lodz.pl/strefa-basenowa/godziny-otwarcia/,"okna operacyjne Fali: baseny 9:00-22:00, poranne plywanie 7:00-8:30 wt.-pt., sauny",0.95
S03,"Turystyczny Portal Lodzi - 18 lat Fali, rekord frekwencji",https://lodz.travel/aktualnosci-lodzkiej-organizacji-turystycznej/artykul-lot/osiemnascie-lat-aquaparku-fala-jubileusz-rekordy-frekwencji-i-ambitne-plany-na-przyszlosc-id63247/2026/2/2/,"Fala 1,55 mln gosci w ostatnim roku",0.85
S04,Lodz.pl - rekordy po styczniu 2025,https://lodz.pl/artykul/rekordy-w-orientarium-zoo-lodz-i-aquaparku-fala-ile-osob-odwiedzilo-zdrowie-66002/,Fala: blisko 117 tys. w styczniu 2025; Orientarium: ponad 47 tys. w styczniu 2025 i ok. 1 mln w 2024,0.85
S05,Aquapark Fala - otwarcie basenow zewnetrznych 2025,https://aquapark.lodz.pl/kalendarz/wydarzenie/aquapark-fala-otwiera-baseny-zewnetrzne-id119225/2025/04/28/,"zewnetrzne baseny od 1 maja do 4 maja 9:00-22:00, pozniej zaleznie od pogody",0.85
S06,Aquapark Fala - wakacyjne otwarcie od rana 2025,https://aquapark.lodz.pl/aktualnosci/artykul/w-wakacje-fala-czynna-od-samego-rana-id126250/2025/06/25/,"wakacyjny profil godzinowy: strefa basenowa od 8:00, poranne plywanie 7:00-8:00 poza poniedzialkami",0.80 - historyczna zasada sezonowa do priory
S07,Orientarium Zoo Lodz - oficjalne godziny otwarcia,https://orientarium.lodz.pl/godziny-otwarcia/,"Orientarium 9:00-19:00, ostatnie wejscie 18:00, pawilony do 18:45, kasy 9:00-18:00",0.95
S08,Orientarium Zoo Lodz - zmiana godzin od 1 kwietnia 2026,https://orientarium.lodz.pl/zmiana-godzin-otwarcia-w-zoo/,potwierdzenie wydluzonych godzin 9:00-19:00 i ogrodu 9:00-18:45,0.90
S09,Orientarium Zoo Lodz - rekordowa frekwencja sierpien 2025,https://orientarium.lodz.pl/rekordowa-frekwencja-w-sierpniu/,"ponad 190 tys. osob w sierpniu 2025, najlepszy miesiac od otwarcia, struktura 70% turysci / 30% lodzianie",0.90
S10,MEN / gov.pl - terminy ferii zimowych 2025/2026,https://www.gov.pl/web/edukacja/terminy-ferii-zimowych-w-roku-szkolnym-20252026,ferie lodzkie 2-15 lutego 2026 oraz ogolna zmienna calendar_school_break,0.95
S11,MEN / gov.pl - kalendarz roku szkolnego 2025/2026,https://www.gov.pl/web/edukacja/kalendarz-roku-szkolnego-20252026,"wakacje, przerwy szkolne, horyzont sezonowy",0.95
S12,Parkmag / Wiadomosci Turystyczne - podsumowanie atrakcji Lodzi 2025,https://parkmag.pl/aquapark-fala-i-orientarium-wsrod-najczesciej-odwiedzanych-atrakcji-lodzi-w-2025-roku/,"orientacyjny benchmark Orientarium ok. 1,4 mln odwiedzajacych w 2025 - secondary source",0.60 - traktowac jako wartosc robocza do kalibracji
